State,State_Code,Marathon Name,City,Finishers,Course Type,Elevation Gain (ft),Elevation Loss (ft)
Alabama,AL,Rocket City Marathon,Huntsville,1184,Rolling Hills,667,671
Alabama,AL,Big Beach Marathon,Gulf Shores,420,Mostly Flat,314,314
Alabama,AL,BHM 26.2 Marathon,Birmingham,185,Hilly,1222,1222
Alaska,AK,Mayors Marathon,Anchorage,665,Hilly,842,982
Alaska,AK,Humpys Marathon,Anchorage,232,Rolling Hills,823,823
Arizona,AZ,Mesa Marathon,Mesa,3192,Downhill,288,1154
Arizona,AZ,Phoenix Marathon,Phoenix,2372,Rolling Hills,417,562
Arizona,AZ,Tucson Marathon,Tucson,1125,Downhill,261,1763
Arkansas,AR,Little Rock Marathon,Little Rock,1133,Rolling Hills,1009,1009
Arkansas,AR,Hogeye Marathon,Springdale,294,Rolling Hills,-,-
Arkansas,AR,3 Bridges Marathon,Little Rock,180,Flat,159,159
California,CA,Los Angeles Marathon,Los Angeles,21444,Rolling Hills,943,1169
California,CA,California International Marathon,Sacramento,8178,Downhill,663,1003
California,CA,San Francisco Marathon,San Francisco,6536,Hilly,1365,1364
Colorado,CO,Colfax Marathon,Denver,2276,Rolling Hills,693,694
Colorado,CO,Boulderthon - Boulder Marathon,Boulder,1998,Hilly,836,824
Colorado,CO,Colorado Marathon,Fort Collins,1081,Downhill,206,1336
Connecticut,CT,Hartford Marathon,Hartford,1915,Rolling Hills,754,782
Connecticut,CT,Savin Rock Marathon,West Haven,158,Rolling Hills,-,-
Delaware,DE,Rehoboth Beach Marathon,Rehoboth Beach,980,Mostly Flat,261,253
Delaware,DE,Coastal Delaware Running Festival Marathon,Rehoboth Beach,776,Mostly Flat,272,272
Delaware,DE,Delaware Marathon,Wilmington,439,Rolling Hills,1025,1025
Florida,FL,Walt Disney World Marathon,Orlando,13291,Flat,260,258
Florida,FL,Miami Marathon,Miami,2954,Mostly Flat,254,253
Florida,FL,Space Coast Marathon,Cocoa,940,Flat,262,259
Georgia,GA,Atlanta Marathon,Atlanta,1941,Rolling Hills,1370,1378
Georgia,GA,Classic City Marathon,Athens,387,Hilly,1130,1153
Georgia,GA,Chickamauga Battlefield Marathon,Chickamauga,352,Rolling Hills,907,907
Hawaii,HI,Honolulu Marathon,Honolulu,22745,Mostly Flat,457,455
Hawaii,HI,Maui Marathon,Kaanapali,420,Mostly Flat,151,151
Hawaii,HI,Maui Oceanfront Marathon,Maui,251,Mostly Flat,-,-
