State,State_Code,Marathon Name,City,Finishers,Course Type,Elevation Gain (ft),Elevation Loss (ft),Date
Alabama,AL,Rocket City Marathon,Huntsville,1184,Rolling Hills,667,671,12/14/2025
Alabama,AL,Big Beach Marathon,Gulf Shores,383,Mostly Flat,314,314,01/25/2026
Alabama,AL,BHM 26.2 Marathon,Birmingham,185,Hilly,1222,1222,10/04/2026
Alabama,AL,Boston or Bust Marathon,Huntsville,153,Mostly Flat,282,282,09/13/2026
Alabama,AL,Mobile Marathon,Mobile,114,Flat,199,199,01/11/2026
Alaska,AK,Mayors Marathon,Anchorage,665,Hilly,842,982,06/20/2026
Alaska,AK,Humpys Marathon,Anchorage,232,Rolling Hills,823,823,08/16/2026
Arizona,AZ,Every Womans Marathon,Scottsdale,3949,Downhill,620,1209,11/16/2025
Arizona,AZ,Mesa Marathon,Mesa,3192,Downhill,288,1154,02/14/2026
Arizona,AZ,Phoenix Marathon,Phoenix,2372,Rolling Hills,417,562,12/12/2026
Arizona,AZ,Tucson Marathon,Tucson,1125,Downhill,261,1763,12/13/2026
Arizona,AZ,Garmin Tucson Marathon,Tucson,447,Rolling Hills,827,827,11/15/2025
Arkansas,AR,Little Rock Marathon,Little Rock,1133,Rolling Hills,1009,1009,03/01/2026
Arkansas,AR,Hogeye Marathon,Springdale,294,Rolling Hills,-,-,04/11/2026
Arkansas,AR,3 Bridges Marathon,Little Rock,180,Flat,159,159,12/06/2025
Arkansas,AR,White River Marathon,Cotter,147,Mostly Flat,482,640,11/21/2026
California,CA,Los Angeles Marathon,Los Angeles,21444,Rolling Hills,943,1169,03/08/2026
California,CA,California International Marathon,Sacramento,8178,Downhill,663,1003,12/06/2026
California,CA,San Francisco Marathon,San Francisco,6536,Hilly,1365,1364,07/26/2026
California,CA,Rock n Roll San Diego Marathon,San Diego,5935,Mostly Flat,813,1044,05/31/2025
California,CA,Long Beach Marathon,Long Beach,4722,Mostly Flat,470,462,10/11/2026
Colorado,CO,Colfax Marathon,Denver,2276,Rolling Hills,693,694,05/17/2026
